Cluster,UserID,TraceID,FramesetName,is attempted before,is finished before,is finished this time,# of conseuctive Incorrect,time divided by questions in this session
Normal,3562,trace 297,ContextFreeLanguagesFF,0,FALSE,TRUE,0.037037037,8.584615385
Normal,3562,trace 298,CFGDerivationsFF,0,FALSE,TRUE,0.055555556,6.691428571
Normal,3562,trace 299,DerivationTreesFF,0,FALSE,TRUE,0,4.02
Credit Seeking,3562,trace 300,MembershipProblemFF,0,FALSE,TRUE,0.310344828,7.757142857
Normal,3562,trace 301,AmbiguityFF,0,FALSE,TRUE,0,3.5125
Normal,3562,trace 302,TransformGrammarsFF,0,FALSE,FALSE,0,3.358823529
Credit Seeking,3562,trace 303,RemoveUselessFF,0,FALSE,TRUE,0.375,5.748717949
Normal,3562,trace 304,RemoveLambdaFF,0,FALSE,FALSE,0.214285714,3.161538462
Normal,3562,trace 305,RemoveUnitFF,0,FALSE,FALSE,0.214285714,6.781481481
Normal,3562,trace 306,ChomskyNormalFormFF,0,FALSE,TRUE,0,4.290909091
Normal,3562,trace 307,GreibachNormalFormFF,0,FALSE,FALSE,0.130434783,2.913636364
Normal,3562,trace 308,PDA,0,FALSE,TRUE,0,2.314285714
Normal,3562,trace 309,PDATransitionsFF,0,FALSE,FALSE,0,3.009090909
Normal,3562,trace 310,PDAAcceptanceFF,0,FALSE,TRUE,0.090909091,4.9125
Normal,3562,trace 311,PDAEmptyStackAcceptanceFF,0,FALSE,FALSE,0.129032258,2.636666667
Normal,3562,trace 312,PDAAcceptanceEquivalenceFF,0,FALSE,TRUE,0.192307692,3.848
Credit Seeking,3562,trace 313,PDACFLFF,0,FALSE,TRUE,0.389830508,2.606896552
Normal,3562,trace 314,DPDAFF,0,FALSE,FALSE,0.071428571,2.776923077
Normal,3562,trace 315,NCFLProofFF,0,FALSE,FALSE,0,2.525
Normal,3562,trace 316,NCFLversusDCFLFF,0,FALSE,FALSE,0,2.275
Normal,3562,trace 317,GrammarsForDCFLFF,0,FALSE,TRUE,0.2,2.085714286
Normal,3562,trace 318,PDACFLFF,1,FALSE,FALSE,0.090909091,37.11
Normal,3562,trace 319,PDAAcceptanceEquivalenceFF,1,FALSE,FALSE,0.25,1.066666667
Normal,3562,trace 320,CFLClosurePropertiesFF,0,FALSE,FALSE,0,2.05
Normal,3562,trace 321,TMGeneralModel,0,FALSE,TRUE,0.121621622,6.523287671
Normal,3562,trace 322,TMInterpreting,0,FALSE,TRUE,0.096774194,4.84
Normal,3562,trace 323,TMDecidableVSAcceptable,0,FALSE,TRUE,0.117647059,2.7
Credit Seeking,3562,trace 324,DPDAFF,1,FALSE,TRUE,0.588235294,1.075
Normal,3562,trace 325,NCFLProofFF,1,FALSE,TRUE,0,0.1
Normal,3562,trace 326,PairToSortCONPI,0,FALSE,TRUE,0.052631579,5.455555556
Normal,3562,trace 327,LowerBound,0,FALSE,TRUE,0.1,14.91111111
Normal,3562,trace 328,TwoMulExample,0,FALSE,TRUE,0.055555556,3.129411765
Normal,3562,trace 329,TravelSalesman,0,FALSE,TRUE,0.12,8.508333333
Normal,3562,trace 330,KClique,0,FALSE,TRUE,0.153846154,16.76666667
Normal,3562,trace 331,SATProof,0,FALSE,TRUE,0,3.290909091
Credit Seeking,3562,trace 332,NPCCoping,0,FALSE,TRUE,0.315789474,7.622222222
Normal,3562,trace 333,UnsolveableProblems1,0,FALSE,TRUE,0,9.745454545
Normal,3562,trace 334,UnsolveableProblems2,0,FALSE,TRUE,0,2.577777778
